rank,company,revenue ($ millions),profit ($ millions)
369,Thrivent Financial for Lutherans,8152.7,637
370,Hershey,8149.7,1278.7
371,Casey's General Stores,8112.3,263.8
372,W.R. Berkley,8098.9,530.7
373,Activision Blizzard,8086,2197
374,Western & Southern Financial Group,8057.9,204.4
375,American Tower,8041.5,1690.6
376,American Financial Group,7909,732
377,Darden Restaurants,7806.9,-52.4
378,J.M. Smucker,7801,779.5
379,Williams,7719,211
380,Intuit,7679,1826
381,Citizens Financial Group,7676,1057
382,PPL,7607,1469
383,NVR,7566,901.2
384,Westinghouse Air Brake Technologies,7556.1,414.4
385,Foot Locker,7548,323
386,Cincinnati Financial,7536.3,1216.4
387,Weyerhaeuser,7532,797
388,Westlake Chemical,7504,330
389,Navistar International,7503,-347
390,Magellan Health,7501.5,382.3
391,Booz Allen Hamilton Holding,7463.8,482.6
392,Autoliv,7447.4,186.9
393,S&P Global,7442,2339
394,Global Payments,7423.6,584.5
395,Motorola Solutions,7414,949
396,KeyCorp,7337,1343
397,Delek US Holdings,7301.8,-608
398,Masco,7289,1224
399,Graybar Electric,7265.7,121.8
400,WEC Energy Group,7241.7,1199.9
401,Old Republic International,7166,558.6
402,Frontier Communications,7155,-402
403,Chewy,7146.3,-92.5
404,PVH,7132.6,-1136.1
405,Asbury Automotive Group,7131.8,254.4
406,Seaboard,7126,283
407,Polaris,7108.3,124.8
408,Dana,7106,-31
409,First American Financial,7086.7,696.4
410,Cintas,7085.1,876
411,Toll Brothers,7077.7,446.6
412,Science Applications International,7056,209
413,Owens Corning,7055,-383
414,Zimmer Biomet Holdings,7024.5,-138.9
415,Xerox Holdings,7022,192
416,Arthur J. Gallagher,7003.6,818.8
417,Avery Dennison,6971.5,555.9
418,Sanmina,6960.4,139.7
419,Jefferies Financial Group,6955.9,775.2
420,Beacon Roofing Supply,6943.9,-80.9
421,Securian Financial Group,6870.4,243.3
422,Oshkosh,6856.8,324.5
423,FM Global,6798,1731.9
424,Booking Holdings,6796,59
425,Williams-Sonoma,6783.2,680.7
426,Coty,6737.9,-1006.7
427,Clorox,6721,939
428,Pioneer Natural Resources,6685,-200
429,Dover,6683.8,683.5
430,CMS Energy,6680,755
431,Zoetis,6675,1638
432,Hanesbrands,6664.4,-75.6
433,Packaging Corp. of America,6658.2,461
434,Regions Financial,6655,1094
435,Graphic Packaging Holding,6559.9,167.3
436,UGI,6559,532
437,Sprouts Farmers Market,6468.8,287.5
438,Avantor,6393.6,116.6
439,Veritiv,6345.6,34.2
440,Rockwell Automation,6329.8,1023.4
441,MasTec,6321,322.8
442,DCP Midstream,6302,-306
443,Northern Trust,6301.1,1209.3
444,M&T Bank,6281.2,1353.2
445,Realogy Holdings,6221,-360
446,NCR,6207,-79
447,T. Rowe Price,6206.7,2372.7
448,Vertex Pharmaceuticals,6205.7,2711.6
449,Big Lots,6199.2,629.2
450,Ralph Lauren,6159.8,384.3
451,Ulta Beauty,6152,175.8
452,Taylor Morrison Home,6129.3,243.4
453,Icahn Enterprises,6123,-1653
454,Blackstone Group,6101.9,1045.4
455,O-I Glass,6091,249
456,Fortune Brands Home & Security,6090.3,553.1
457,NOV,6090,-2542
458,Ovintiv,6087,-6097
459,Alexion Pharmaceuticals,6069.9,603.4
460,Huntsman,6025,1034
461,Equinix,5998.5,369.8
462,ABM Industries,5987.6,0.3
463,Ingredion,5987,348
464,Chipotle Mexican Grill,5984.6,355.8
465,Sinclair Broadcast Group,5943,-2414
466,LPL Financial Holdings,5871.6,472.6
467,Crown Castle International,5840,1056
468,KLA,5806.4,1216.8
469,Ameren,5794,871
470,KBR,5767,-72
471,Burlington Stores,5764,-216.5
472,Olin,5758,-969.9
473,CACI International,5720,321.5
474,Post Holdings,5698.7,0.8
475,Academy Sports and Outdoors,5689.2,308.8
476,Arconic,5675,-109
477,Celanese,5655,1985
478,Yum Brands,5652,904
479,Fastenal,5647.3,859.1
480,Nasdaq,5627,933
481,Analog Devices,5603.1,1220.8
482,McCormick,5601.3,747.4
483,Carvana,5586.6,-171.1
484,Franklin Resources,5566.5,798.9
485,Electronic Arts,5537,3039
486,MDU Resources Group,5532.8,390.2
487,Select Medical Holdings,5531.7,259
488,Roper Technologies,5527.1,949.7
489,RPM International,5507,304.4
490,Cerner,5505.8,780.1
491,Patterson,5490,-588.4
492,Commercial Metals,5476.5,279.5
493,Boise Cascade,5474.8,175
494,Hasbro,5465.4,222.5
495,A-Mark Precious Metals,5461.1,30.5
496,Camping World Holdings,5446.6,122.3
497,NetApp,5412,819
498,Avis Budget Group,5402,-684
499,R.R. Donnelley & Sons,5398.8,98.5
500,Moody's,5371,1778
